Studio_ID,Studio
107,Studio Fantasia
42,GONZO
73,AIC
24,Brain's Base
32,GAINAX
68,XEBEC
65,ARMS
6,MADHOUSE
12,8-Bit
25,Studio DEEN
108,Production IMS
19,Pierrot
109,Nomad
110,Shin-Ei Animation
27,Production I.G
42,GONZO
102,NAZ
111,Studio M2
112,Studio Rikka
73,AIC
113,CG Year
32,GAINAX
24,Brain's Base
66,POLYGON PICTURES
24,Brain's Base
87,Tezuka Productions
114,Bibury Animation Studios
19,Pierrot
68,XEBEC
44,Toei Animation
2,Bones
19,Pierrot
46,A.C.G.T
68,XEBEC
106,Prime Time
20,SHAFT
18,Sunrise
6,MADHOUSE
115,Sola Digital Arts
43,J.C.Staff
44,Toei Animation
116,AIC ASTA
32,GAINAX
117,feel.
118,VENET
41,OLM
77,Maho Film
42,GONZO
87,Tezuka Productions
119,diomedea
57,SILVER LINK.
120,Multi-Access Company
6,MADHOUSE
121,anima
78,Daume
6,MADHOUSE
43,J.C.Staff
43,J.C.Staff
18,Sunrise
34,Nippon Animation
122,Studio A-Cat
108,Production IMS
123,Hal Film Maker
108,Production IMS
55,GoHands
35,Manglobe
12,8-Bit
35,Manglobe
6,MADHOUSE
30,Geno Studio
124,Palm Studio
22,A-1 Pictures
76,Passione
18,Sunrise
75,Zexcs
19,Pierrot
106,Prime Time
47,SATELIGHT
73,AIC
125,The Answer Studio
91,Zero-G
27,Production I.G
126,aNCHOR
34,Nippon Animation
4,MAPPA
4,MAPPA
1,TMS Entertainment
46,A.C.G.T
1,TMS Entertainment
114,Bibury Animation Studios
57,SILVER LINK.
91,Zero-G
58,TRIGGER
43,J.C.Staff
32,GAINAX
86,GRIZZLY
42,GONZO
28,LIDEN FILMS
6,MADHOUSE
6,MADHOUSE
107,Studio Fantasia
65,ARMS
24,Brain's Base
78,Daume
19,Pierrot
24,Brain's Base
27,Production I.G
60,Millepensee
117,feel.
127,Visual 80
81,Tatsunoko Production
6,MADHOUSE
33,Magic Bus
99,Doga Kobo
57,SILVER LINK.
7,Lerche
11,CloverWorks
128,Ezo'la
25,Studio DEEN
119,diomedea
72,asread
19,Pierrot
6,MADHOUSE
42,GONZO
18,Sunrise
41,OLM
71,Ajia-do
6,MADHOUSE
3,WIT Studio
101,Khara
129,AIC PLUS+
1,TMS Entertainment
23,Kinema Citrus
1,TMS Entertainment
73,AIC
130,ILCA
123,Hal Film Maker
53,TNK
91,Zero-G
131,Studio Sakimakura
46,A.C.G.T
6,MADHOUSE
132,Actas
77,Maho Film
96,AIC Spirits
6,MADHOUSE
65,ARMS
133,Studio Gokumi
134,Studio Junio
6,MADHOUSE
28,LIDEN FILMS
101,Khara
6,MADHOUSE
44,Toei Animation
57,SILVER LINK.
2,Bones
65,ARMS
72,asread
39,Seven Arcs
43,J.C.Staff
27,Production I.G
106,Prime Time
121,anima
135,Geek Toys
27,Production I.G
6,MADHOUSE
44,Toei Animation
73,AIC
42,GONZO
78,Daume
51,Telecom Animation Film
108,Production IMS
46,A.C.G.T
43,J.C.Staff
6,MADHOUSE
43,J.C.Staff
104,GEMBA
68,XEBEC
1,TMS Entertainment
44,Toei Animation
75,Zexcs
72,asread
117,feel.
32,GAINAX
136,Pb Animation
137,XEBEC M2
83,Science SARU
81,Tatsunoko Production
73,AIC
43,J.C.Staff
6,MADHOUSE
18,Sunrise
6,MADHOUSE
138,Fever Creations
17,David Production
139,Seven
76,Passione
117,feel.
99,Doga Kobo
75,Zexcs
25,Studio DEEN
73,AIC
65,ARMS
73,AIC
7,Lerche
140,ARTMIC Studios
91,Zero-G
108,Production IMS
101,Khara
6,MADHOUSE
99,Doga Kobo
117,feel.
141,Oh production
6,MADHOUSE
73,AIC
141,Oh production
132,Actas
6,MADHOUSE
119,diomedea
142,Ashi Productions
123,Hal Film Maker
109,Nomad
143,Tear Studio
56,BEE TRAIN
139,Seven
24,Brain's Base
6,MADHOUSE
144,BigFireBird
73,AIC
73,AIC
102,NAZ
53,TNK
29,Graphinica
93,Pastel
103,Group TAC
25,Studio DEEN
25,Studio DEEN
11,CloverWorks
145,REVOROOT
43,J.C.Staff
75,Zexcs
