ID,Name
355,Haganai: I Don't Have Many Friends
356,Kubikiri Cycle: Aoiro Savant to Zaregototsukai
357,Kuuchuu Buranko
358,Aoi Bungaku Series
359,High School DxD OVA
360,Deadman Wonderland
361,Deca-Dence
362,To Love Ru OVA
363,Fate/Kaleid Liner Prisma Illya 3rei!!
364,Shonan Junai Gumi
365,Re:Creators
366,Ga-Rei-Zero
367,Btooom!
368,Alice in Borderland
369,Blood+
370,Akashic Records of Bastard Magic Instructor
371,Sankarea
372,Accel World
373,The Asterisk War (2016)
374,Neuro: Supernatural Detective
375,City Hunter
376,The Troubled Life of Miss Kotoura
377,Strike the Blood III
378,Monster Musume OVA
379,Drifters OVA
380,Talentless Nana
381,"High School DxD NEW: Oppai, Tsutsumimasu!"
382,A Certain Scientific Accelerator
383,Read Or Die TV
384,Danganronpa: The Animation
385,Prison School OVA
386,Tokyo Ghoul: Pinto
387,Saint Seiya: Knights of the Zodiac
388,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn’t Exist
389,JoJo's Bizarre Adventure
390,Tenchi Muyo! The Night Before The Carnival
391,Edens Zero
392,JoJo's Bizarre Adventure (2000)
393,Black Jack OVA
394,Gunbuster 2
395,Strike Witches 2
396,Lord Marksman and Vanadis
397,Strike the Blood: Kingdom of the Valkyria
398,To Love Ru: Multiplication - Mae kara Ushiro kara
399,Strike the Blood II
400,B: The Beginning
401,Symphogear AXZ
402,Sekirei
403,Bokurano
404,Rosario + Vampire Capu2
405,"Now and Then, Here and There"
406,Sword Art Online Alternative: Gun Gale Online
407,Mushoku Tensei: Jobless Reincarnation PV
408,Fist of the North Star 2
409,Aishiteruze Baby
410,Dogs: Bullets & Carnage
411,Shigofumi
412,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha
413,Hell Girl
414,God Eater
415,RIN: Daughters of Mnemosyne
416,Strike Witches: Operation Victory Arrow
417,Angels of Death
418,Record of Grancrest War
419,Laughing Under the Clouds
420,Strike the Blood IV
421,Lost Song
422,Baki
423,Fist of the North Star
424,His and Her Circumstances
425,Golden Kamuy OVA
426,Fate/Apocrypha
427,Me! Me! Me!
428,Star Wars: Visions
429,Lupin III: Part III
430,Angel Densetsu
431,Magical Girl Lyrical Nanoha
432,Fist of the North Star: Legend of Toki
433,Kurenai
434,Mobile Suit Gundam: Thunderbolt 2nd Season
435,Hamatora
